date,q2_plan_cost,q2_emergency_cost,q2_total_cost,q3_s0_total_cost,q3_s1_total_cost,actual_net_energy_kwh,saving_vs_q3_s0_yuan,saving_vs_q2_yuan,season,extreme_net_demand_day
2025-02-21,17512.957444789714,286.4986622022191,17799.456106991933,18360.56122426567,18491.486906546277,25560.262033333333,-130.92568228060554,-692.0307995543444,冬季,False
2025-02-22,18164.96625422672,1083.2931130749628,19248.25936730168,18680.87846662001,18723.94627195524,27844.762883333333,-43.067805335227604,524.3130953464424,冬季,False
2025-02-23,49100.32336170272,1205.531411494404,50305.85477319713,50320.95832062282,49260.90828070397,71531.85368333333,1060.0500399188531,1044.94649249316,冬季,False
2025-02-24,47539.95207519035,7.05416169921591e-13,47539.95207519035,48772.46814218096,48075.7960402051,68203.03361666667,696.6721019758552,-535.8439650147557,冬季,False
2025-02-25,48587.96755803027,1.3982059954287252e-13,48587.96755803027,49870.81691275561,47621.813445024,65821.32323333333,2249.003467731607,966.1541130062687,冬季,False
2025-02-26,43793.52195083875,10244.956575513825,54038.47852635258,48933.54455829489,47398.81630771912,68814.84803333333,1534.7282505757685,6639.662218633457,冬季,False
2025-02-27,45063.60969165548,194.13121829861385,45257.7409099541,46211.76680005154,47030.56523363682,66956.58419999998,-818.7984335852816,-1772.8243236827257,冬季,False
2025-02-28,17301.50939249796,595.6646124402416,17897.174004938202,18188.961430627613,17587.343882262154,23292.59355,601.6175483654588,309.83012267604863,冬季,False
2025-03-01,19074.30838775085,7.013767344687949e-14,19074.30838775085,19788.513997349284,19446.733938519847,23658.76593333333,341.7800588294376,-372.4255507689959,春季,False
2025-03-02,51172.88185557639,183.20232476988136,51356.08418034627,52252.69827586359,51749.05952861785,72358.30706666666,503.6387472457427,-392.97534827158233,春季,False
2025-03-03,52358.21714100075,2608.7522606884663,54966.96940168922,53884.9399057552,51915.19603036298,72017.14663333332,1969.743875392218,3051.773371326235,春季,False
2025-03-04,45176.95538831628,4822.131230133781,49999.08661845006,46758.469535399374,46995.1395889295,69199.45793333334,-236.67005353012792,3003.947029520561,春季,False
2025-03-05,47179.82846206408,2.20078390555601,47182.02924596964,48495.89656775647,46319.59924075342,66130.47201666667,2176.297327003049,862.4300052162216,春季,False
2025-03-06,43472.60344195038,1381.3971229576346,44854.00056490801,44799.03651148633,44859.4432083663,65940.65413333333,-60.40669687996706,-5.442643458285602,春季,False
2025-03-07,17877.76051307541,0.0,17877.76051307541,18492.54110924548,17556.149018057964,20922.28553333333,936.3920911875175,321.6114950174451,春季,False
