date,q3_s0_total_cost,q3_s1_total_cost,actual_net_energy_kwh
2025-04-15,39576.83470673434,35154.846169304124,50139.42883333333
2025-04-16,38547.14296323738,37966.99851649573,55779.59194999999
2025-04-17,42254.315701738335,36170.07944108511,52868.34235
2025-04-18,13784.249767912115,13240.941697502152,6354.117183333332
2025-04-19,13654.75896416738,13705.304352505624,6784.679250000001
2025-04-20,34853.802784225554,36060.433268417175,51957.74488333333
2025-04-21,36528.041974742606,35132.753639128015,48516.91038333333
2025-04-22,39943.04839633175,35317.25831648749,52152.92931666666
2025-04-23,46972.89291041196,35115.27287930301,51399.91671666666
2025-04-24,32718.257600005767,34231.569918596564,47090.10669999999
2025-04-25,13462.618994314582,12772.08927744147,2000.3576500000022
2025-04-26,13216.257680826155,13015.381783944858,70.19363333333195
2025-04-27,34146.68414063215,34314.00867695287,48573.47118333333
2025-04-28,37798.667707136876,38818.18497957807,56621.96731666667
2025-04-29,36654.42945633642,34500.45811992107,47433.213716666665
2025-04-30,37937.701948800146,34140.232320745294,48256.85443333333
2025-05-01,44522.90232705443,43085.79767236113,51011.3788
2025-05-02,23024.652133202726,21491.96513991141,14290.320083333332
2025-05-03,21609.600948120897,19804.608956576496,8867.17165
2025-05-04,40456.32499244147,39571.94387922241,51734.66733333333
2025-05-05,38938.80741089248,38084.539629248895,55076.0068
2025-05-06,47668.93460132988,39705.85706917781,52870.08236666666
2025-05-07,45374.13066723982,39297.25143853073,55067.84595
2025-05-08,39158.06844405944,39508.23768380793,55826.5124
2025-05-09,20633.33001251588,15592.513903218845,8499.38585
2025-05-10,18485.57926891149,15427.414889129946,12121.045283333333
2025-05-11,39556.527394037534,38882.66071632266,55484.07908333333
2025-05-12,44197.92787985477,37660.57772885411,51931.195233333325
2025-05-13,38888.25324181605,39094.13744321894,53129.212766666664
2025-05-14,37434.60087928689,38122.249990087585,53014.14878333333
2025-05-15,37285.074129826375,38089.44496733223,52765.05828333333
2025-05-16,15220.52163411996,14667.478379588143,2715.5065333333323
2025-05-17,16631.023720037818,15095.237729157263,10448.799083333333
2025-05-18,38417.03852762942,38003.89166252648,53676.168099999995
2025-05-19,35218.403256982776,36656.54429112306,47515.21655
2025-05-20,45525.397403341136,37727.254396663,54527.39481666666
2025-05-21,48268.475260968706,37484.07627655965,51362.61528333333
2025-05-22,34947.449418825025,35827.52440769768,50816.630816666664
2025-05-23,15244.671208996626,15766.186532797912,6420.948883333333
2025-05-24,14895.253721826557,14555.677751581043,3754.5013833333333
2025-05-25,35339.31271810561,36100.02975308774,48545.01018333333
2025-05-26,55054.849979233084,39036.70564721558,54579.832949999996
2025-05-27,40539.496557008824,37928.55344133412,49390.3673
2025-05-28,36029.95793301475,37283.95581263763,52273.8241
2025-05-29,38783.9522301252,39446.26477266872,54110.1235
2025-05-30,14962.231189553924,15289.987912672175,6596.233266666665
2025-05-31,16084.55049640223,15471.112071784886,8389.181550000001
2025-06-01,61140.96205345442,60555.91555891413,71224.8263
2025-06-02,59206.20138059513,53979.362310535915,68640.80745
2025-06-03,54423.988629778476,49873.67963095255,68192.36683333333
2025-06-04,54665.8403843692,52024.494789502955,69645.26081666666
2025-06-05,53018.73362349884,50760.11307166336,71149.31801666666
2025-06-06,41393.10061327291,34731.17367635011,30854.9954
2025-06-07,33677.227399211246,28594.78297992247,31126.513166666664
2025-06-08,50892.33902716214,48367.5271612237,65184.923266666665
2025-06-09,53186.10405494589,51709.28602921873,70932.71273333333
2025-06-10,48507.374957662796,51160.28364766742,71618.44423333333
2025-06-11,55511.96751779258,54817.99559509452,76084.44631666665
2025-06-12,51048.072596967846,51145.91967211316,72452.39143333332
2025-06-13,27631.170886185304,22049.43291041659,28345.3137
2025-06-14,20480.228693741617,20945.15227480709,26193.34275
2025-06-15,54682.56841600692,51136.08191641545,70626.97433333333
2025-06-16,51468.00041374926,51519.13631454393,72694.05281666666
2025-06-17,51019.808591277484,53476.29972026768,74637.01121666667
2025-06-18,50294.591034357276,51759.73229428089,70928.3909
2025-06-19,55538.95166080103,51820.87346826926,68259.5042
2025-06-20,21432.103217728727,20976.664738498657,22400.58085
2025-06-21,20517.779379477804,20271.633055549508,19334.740399999995
2025-06-22,50770.77123103043,48704.19586594138,67457.34109999999
2025-06-23,46881.55845815115,47232.80353511465,67061.286
2025-06-24,54568.167053071214,54056.95068812654,76268.79225
