date,q2_plan_cost,q2_emergency_cost,q2_total_cost
2025-04-28,38767.04074087396,5.986091622389722e-13,38767.04074087396
2025-04-29,33191.55893316757,1895.6794927030332,35087.23842587061
2025-04-30,31715.333024293675,232.1436267474019,31947.476651041077
2025-05-01,33243.29151156121,13534.60668672749,46777.898198288705
2025-05-02,13701.884781662684,9150.39500607793,22852.279787740612
2025-05-03,13514.083895430256,7273.892943868241,20787.9768392985
2025-05-04,36924.04961792006,106.31130139536666,37030.36091931543
2025-05-05,39083.842404391144,2.348805594465375e-13,39083.842404391144
2025-05-06,33872.49892950745,11165.411544791561,45037.91047429901
2025-05-07,37151.93350133042,4249.481804099229,41401.41530542965
2025-05-08,40086.22897341885,89.91578352083502,40176.144756939684
2025-05-09,14139.501104517663,556.7240218547017,14696.225126372365
2025-05-10,14881.175872681899,8.046239230452557e-13,14881.175872681899
2025-05-11,38972.043203125744,100.04947791666834,39072.09268104241
2025-05-12,34610.27802388609,565.6663579018962,35175.94438178798
2025-05-13,40046.13370083567,1.4006840132196885e-13,40046.13370083567
2025-05-14,38404.05088450387,0.0,38404.05088450387
2025-05-15,37818.28330143471,8.117861938217175e-14,37818.28330143471
2025-05-16,15521.753965385806,3.5376501728023866e-13,15521.753965385806
2025-05-17,14851.829130255192,509.28240093393674,15361.111531189128
2025-05-18,38989.693889200105,10.223537916667853,38999.91742711677
2025-05-19,35516.714126727784,286.19442687500145,35802.908553602785
2025-05-20,33426.1357712411,20768.963685878014,54195.09945711911
2025-05-21,33402.595166297935,7079.176218057987,40481.771384355925
2025-05-22,35677.69881434381,7.617018127348274e-13,35677.69881434381
2025-05-23,14813.738925084639,8.687095487402984e-14,14813.738925084639
2025-05-24,14872.248296226335,2.0376706314987545,14874.285966857833
2025-05-25,34313.7943625343,1455.6933218081851,35769.487684342486
2025-05-26,34688.84479343164,11440.50899522446,46129.3537886561
2025-05-27,33047.772600439916,7.617018127348274e-13,33047.772600439916
2025-05-28,37207.141858418574,6.013523012882161e-14,37207.141858418574
2025-05-29,36777.32252464953,642.3897218736204,37419.71224652315
2025-05-30,15592.604945643316,0.0,15592.604945643316
2025-05-31,15763.686237231575,4.596358849084936e-13,15763.686237231575
2025-06-01,46239.007271893766,16683.270589190794,62922.277861084556
2025-06-02,50906.849740535006,1312.064531400388,52218.91427193539
2025-06-03,47907.885528475825,590.9642319791683,48498.84976045499
2025-06-04,56345.68652044593,5.148473869454051e-13,56345.68652044593
2025-06-05,49053.84745108513,0.0,49053.84745108513
2025-06-06,16544.6011860686,23016.956857153546,39561.55804322215
2025-06-07,18837.281705754547,11060.111874486163,29897.39358024071
2025-06-08,47563.58393183568,5.146922887888649e-13,47563.58393183568
2025-06-09,52438.31024808458,1.1877498984347311e-13,52438.31024808458
2025-06-10,47690.520849679815,123.9226135434054,47814.44346322322
2025-06-11,52958.953320895824,3048.0741765395674,56007.02749743539
2025-06-12,50401.248798440654,5.945158254583305e-14,50401.248798440654
2025-06-13,20142.43015638779,6.727871593170674e-13,20142.43015638779
2025-06-14,21859.645789404633,3.5700509215530474e-13,21859.645789404633
2025-06-15,45523.09519016464,16175.675650103003,61698.77084026764
2025-06-16,48473.37427667946,5895.299984682701,54368.67426136216
2025-06-17,50005.82960554898,1215.41364347144,51221.243249020416
2025-06-18,50128.57423380359,3.168789675100925e-13,50128.57423380359
2025-06-19,46478.21360435396,14372.085290357249,60850.2988947112
2025-06-20,23650.82127967428,0.0,23650.82127967428
2025-06-21,21736.87892823134,0.0,21736.87892823134
2025-06-22,43723.82718924091,109.6359054173605,43833.46309465827
2025-06-23,46766.60140965355,5.420472959372091e-13,46766.60140965355
2025-06-24,54248.01240482524,175.79414133333447,54423.80654615857
2025-06-25,47403.644968555804,265.4258919609356,47669.07086051674
2025-06-26,45626.25318831503,294.78343830486233,45921.03662661989
2025-06-27,23641.49546333414,4.728493152583724e-13,23641.49546333414
2025-06-28,21270.86576926693,6.24567064733128e-14,21270.86576926693
2025-06-29,42409.689754980885,19501.68813903719,61911.37789401808
2025-06-30,47915.57870068775,168.26354342638862,48083.84224411414
2025-07-01,41316.67025337796,88077.89813567644,129394.5683890544
2025-07-02,43538.66055513873,40405.62780096304,83944.28835610178
2025-07-03,55862.65138030196,109.39260346666778,55972.04398376863
2025-07-04,20297.17579053912,23187.704997994217,43484.88078853334
2025-07-05,22833.817800669494,13542.133742004538,36375.95154267403
2025-07-06,55430.97592499253,4429.231094057778,59860.20701905031
2025-07-07,57933.60647810703,9.841567560897603e-13,57933.60647810703
2025-07-08,59958.25461445639,9.310294757369776e-13,59958.25461445639
2025-07-09,59812.17272674094,1.6271428648906294e-12,59812.17272674094
2025-07-10,54814.54565811263,3.322941921624079e-13,54814.54565811263
2025-07-11,26526.078777888073,1.261639681615634e-13,26526.078777888073
2025-07-12,27850.15184872048,0.0,27850.15184872048
2025-07-13,59899.01100569994,1.7492958193088272e-12,59899.01100569994
2025-07-14,53623.356707084575,1.004454297515167e-12,53623.356707084575
2025-07-15,53799.05551136053,5.423306248530934e-14,53799.05551136053
2025-07-16,49695.69768596459,292.89861042083186,49988.59629638542
2025-07-17,47131.41844777395,17869.749944493225,65001.16839226717
2025-07-18,33351.210928965,8.225953251894681e-14,33351.210928965
2025-07-19,31285.103526647938,2.9984903449076226e-14,31285.103526647938
2025-07-20,50176.51751700713,21.561072000001307,50198.078589007135
2025-07-21,51625.287499067024,7.526580799999392,51632.81407986702
2025-07-22,49231.9830065189,3852.4878264425593,53084.47083296146
2025-07-23,55675.68133521349,89.21786083333404,55764.89919604683
2025-07-24,55531.02292034071,0.0,55531.02292034071
2025-07-25,29911.314944506743,0.0,29911.314944506743
2025-07-26,28583.148814771135,1.261639681615634e-13,28583.148814771135
2025-07-27,48148.44640470274,10776.564658433734,58925.01106313648
2025-07-28,52438.62732640077,2407.0543500024387,54845.681676403205
2025-07-29,50297.2716444647,9157.137159028613,59454.408803493316
2025-07-30,45981.44292310909,38297.30436659946,84278.74728970855
2025-07-31,49036.9141056229,11899.799683869052,60936.71378949195
2025-08-01,29999.594991873477,0.0,29999.594991873477
2025-08-02,26471.20159187969,1.261639681615634e-13,26471.20159187969
2025-08-03,43411.87362556019,1916.6417100298847,45328.51533559008
2025-08-04,48151.8937249336,0.0,48151.8937249336
2025-08-05,46565.78324968541,6.25902885076357e-13,46565.78324968541
2025-08-06,51840.42292558175,4.59287718967971e-13,51840.42292558175
2025-08-07,50879.30545897153,23.176033691666266,50902.481492663195
2025-08-08,24551.171829789273,0.0,24551.171829789273
2025-08-09,22591.824205736204,0.0,22591.824205736204
2025-08-10,48220.65943366826,482.60614695833164,48703.26558062659
2025-08-11,45940.85626667566,641.9654308778439,46582.8216975535
2025-08-12,48511.031659885746,550.7503650537809,49061.78202493953
2025-08-13,43530.24427603441,12361.868666626471,55892.11294266088
2025-08-14,45574.00641101773,34.609417500000326,45608.61582851774
2025-08-15,23294.477989157756,1384.43232349754,24678.910312655295
2025-08-16,24368.037070785005,1754.1866428439603,26122.223713628966
2025-08-17,46779.3478287193,672.0018453440185,47451.34967406332
2025-08-18,46190.54085307149,405.45077854166806,46595.99163161316
2025-08-19,45138.731512602295,524.2758748708349,45663.00738747313
2025-08-20,49431.127611890304,199.66936398012103,49630.79697587043
2025-08-21,47146.451348881776,7.728062634271282e-13,47146.451348881776
2025-08-22,22871.975138368216,3486.9374253001133,26358.91256366833
2025-08-23,22551.277019960027,5437.584256251988,27988.861276212017
2025-08-24,45435.35611917787,0.0,45435.35611917787
2025-08-25,58181.57619911528,6.991776047016175e-13,58181.57619911528
2025-08-26,45481.74685933083,897.3015586695146,46379.04841800034
2025-08-27,45249.372811612346,11744.479486371616,56993.85229798396
2025-08-28,44364.081571171,30527.832155425793,74891.9137265968
2025-08-29,24827.089909545048,4.1769965264393245e-13,24827.089909545048
2025-08-30,23793.00358570229,284.9051588334895,24077.908744535776
2025-08-31,46016.34843775262,4681.36360998229,50697.71204773491
2025-09-01,51512.08495529876,2.36866526392987e-13,51512.08495529876
2025-09-02,41842.357532247464,4.2606984607118647e-13,41842.357532247464
2025-09-03,43000.92250912579,0.0,43000.92250912579
