season,n_days,saving_vs_q3_s0_yuan,saving_vs_q2_yuan,mean_daily_saving_vs_s0_yuan,mean_daily_saving_vs_q2_yuan,positive_day_share_vs_s0,positive_day_share_vs_q2
冬季,59,99738.20068310807,112772.17116911191,1690.4779776797977,1911.392731679863,0.7457627118644068,0.6779661016949152
春季,92,167851.58887511192,127052.16140340635,1824.4737921207818,1381.0017543848517,0.7391304347826086,0.5652173913043478
夏季,92,248039.09463200287,230222.42815386844,2696.0771155652487,2502.417697324657,0.6521739130434783,0.5760869565217391
秋季,91,106155.55388681163,97240.76276787769,1166.5445482067212,1068.5798106360187,0.7802197802197802,0.5934065934065934
