extreme_group,n_days,saving_vs_q3_s0_yuan,saving_vs_q2_yuan,mean_daily_saving_vs_s0_yuan,mean_daily_saving_vs_q2_yuan,positive_day_share_vs_s0,positive_day_share_vs_q2
其余95%,317,606277.3742862158,544457.1809660774,1912.5469220385355,1717.5305393251651,0.7318611987381703,0.5899053627760252
净负荷能量最高5%,17,15507.063790818727,22830.342528187037,912.1802229893369,1342.9613251874728,0.6470588235294118,0.7058823529411765
